CNVD-2019-12561,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12561,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9779,GNU LibreDWG空指针逆向引用漏洞,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的dwg.spec文件的‘.spec’函数存在空指针逆向引用漏洞。攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9779,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-13776,https://www.cnvd.org.cn/flaw/show/CNVD-2019-13776,2019-05-13,中AV:N/AC:M/Au:N/C:N/I:N/A:P,CVE-2019-6456,GNU Recutils空指针解引用漏洞,GNU Recutils 1.8;,GNU Recutils是一组工具和库，用于访问称为recfiles的人类可编辑的纯文本数据库。GNU Recutils 1.8中的librec.a中的rec-fex.c中的rec_fex_size()函数存在空指针解引用漏洞。目前没有详细的漏洞细节提供,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2019-6456,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.gnu.org/software/recutils/
CNVD-2019-14258,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14258,2019-05-14,中AV:N/AC:M/Au:N/C:N/I:N/A:P,CVE-2019-6455,GNU Recutils rec-mset.c文件双重释放漏洞,GNU Recutils 1.8;,GNU Recutils是GNU计划的一套纯文本数据库。GNU Recutils 1.8版本中的rec-mset.c文件的‘rec_mset_elem_destroy()’函数存在双重释放漏洞。目前没有详细的漏洞细节提供,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2019-6455,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.gnu.org/software/recutils/
CNVD-2019-15741,https://www.cnvd.org.cn/flaw/show/CNVD-2019-15741,2019-05-29,中AV:N/AC:M/Au:N/C:P/I:P/A:P,CVE-2018-12886,GNU Compiler Collection安全绕过漏洞,GNU Compiler Collection (GCC) >=4.1，<=8;,GNU Compiler Collection（GCC）是GNU计划的一款开源的编程语言编译器。GNU GCC 4.1版本至8版本中存在安全漏洞。攻击者可利用该漏洞绕过安全保护。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2018-12886,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://gcc.gnu.org/
CNVD-2013-00510,https://www.cnvd.org.cn/flaw/show/CNVD-2013-00510,2013-01-24,中,CVE-2012-2997,F5 BIG-IP XML外部实体注入漏洞,"F5 Networks, Inc. BIG-IP <=11.2.0;","F5 BIG-IP是应用交换机。F5 BIG-IP存在一个XML外部实体注入漏洞。允许通过验证的攻击者以""apache"" OS用户上下文下载系统中任意文件，BIG-IP配置允许用户访问/etc/shadow文件获得用户密码哈希。",通用型漏洞,https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20130122-0_F5_BIG-IP_XML_External_Entity_Injection_v10.txt,F5 BIG-IP 11.2.0 HF3或11.2.1 HF3已经修复此漏洞，建议用户下载使用：http://www.f5.com/
CNVD-2013-00509,https://www.cnvd.org.cn/flaw/show/CNVD-2013-00509,2013-01-24,高,CVE-2012-3000,F5 BIG-IP 'saveSettings.php' SQL注入漏洞,"F5 Networks, Inc. BIG-IP <=11.2.0;","F5 BIG-IP是应用交换机。F5 BIG-IP saveSettings.php未能正确过滤用户提交的输入，通过验证的攻击者可以利用漏洞提交恶意SQL查询，可访问MySQL数据库信息或以""mysql"" OS用户上下文访问系统文件。要成功利用漏洞可能需要启用Application Security (ASM)或Access Policy (APM)。",通用型漏洞,https://www.sec-consult.com/en/Vulnerability-Lab/Advisories.htm#a108https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20130122-1_F5_BIG-IP_SQL_Injection_v10.txt,F5 BIG-IP 11.2.0 HF3已经修复此漏洞，建议用户下载使用：http://www.f5.com/
CNVD-2014-02934,https://www.cnvd.org.cn/flaw/show/CNVD-2014-02934,2014-05-12,高AV:N/AC:L/Au:N/C:P/I:P/A:P,CVE-2014-2928,多个F5 BIG-IP产品远程命令注入漏洞,"F5 Networks, Inc. BIG-IP;",F5 BIG-IP是由F5 Network公司生产的用于应用交付服务的设备产品，主要用于负载均衡、业务加速优化等用途。多个F5 BIG-IP产品存在远程命令注入漏洞。由于产品未能有效过滤通过iControl连接提供的数据，这可使具有有效管理员账户的攻击者通过访问iControl，利用此漏洞在受影响系统上执行任意命令。,通用型漏洞,http://support.f5.com/kb/en-us/solutions/public/15000/200/sol15220.html,用户可参考如下供应商提供的安全公告获得补丁信息：http://support.f5.com/kb/en-us/solutions/public/15000/200/sol15220.html
CNVD-2014-04615,https://www.cnvd.org.cn/flaw/show/CNVD-2014-04615,2014-07-25,高AV:N/AC:L/Au:N/C:P/I:P/A:P,CVE-2013-7408,BIG-IP可猜测会话cookie生成漏洞,"F5 Networks, Inc. BIG-IP 11.0.0 - 11.3.0;","F5公司是应用交付网络(ADN)领域全球领导者.提供应用安全,数据中心防火墙,负载均衡,数据存储,广域网优化,虚拟化及云计算解决方案。F5 Networks BIG-IP Analytics 11.3.0会话cookie处理器组件存在安全漏洞，允许攻击者利用漏洞猜测会话cooie，未授权访问设备。",通用型漏洞,http://support.f5.com/kb/en-us/solutions/public/14000/300/sol14334.html,用户可参考如下厂商提供的安全公告获取补丁以修复该漏洞：http://support.f5.com/kb/en-us/solutions/public/14000/300/sol14334.html
CNVD-2014-05379,https://www.cnvd.org.cn/flaw/show/CNVD-2014-05379,2014-09-03,高AV:N/AC:L/Au:N/C:P/I:P/A:P,Null,F5 Unauthenticated rsync远程根代码执行漏洞,"F5 Networks, Inc. BIG-IP 11.x(<11.6.0);F5 Networks, Inc. BIG-IP  11.5.1 HF3;F5 Networks, Inc. BIG-IP  11.5.0 HF4;F5 Networks, Inc. BIG-IP  11.4.1 HF;F5 Networks, Inc. BIG-IP  11.4.0 HF7;F5 Networks, Inc. BIG-IP  11.3.0 HF9;F5 Networks, Inc. BIG-IP  11.2.1 HF11;",BIG-IP本地流量管理器(LTM)可将用户的网络转变为灵活的应用交付基础架构。它是用户和应用服务器之间的全代理，它创建了一个提取层，用于确保应用流量的安全，并对应用流量进行优化和负载均衡。F5 Unauthenticated rsync存在远程代码执行漏洞。攻击者可以获取的应用程序的最高权限。,通用型漏洞,http://cxsecurity.com/issue/WLB-2014080148,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://support.f5.com/kb/en-us/solutions/public/15000/200/sol15236.html
CNVD-2014-05558,https://www.cnvd.org.cn/flaw/show/CNVD-2014-05558,2014-09-11,中AV:N/AC:L/Au:N/C:P/I:N/A:N,CVE-2014-4024,F5 Networks多款产品信息泄露漏洞,"F5 Networks, Inc. BIG-IP;",F5公司是应用交付网络(ADN)领域全球领导者。提供应用安全，数据中心防火墙，负载均衡，数据存储，广域网优化，虚拟化及云计算解决方案。F5 Networks多款产品存在信息泄露漏洞，攻击者可以利用此漏洞获取敏感信息。,通用型漏洞,http://www.securityfocus.com/bid/69680/info,用户可以联系供应商获得补丁信息：https://f5.com/products/big-ip
CNVD-2014-08977,https://www.cnvd.org.cn/flaw/show/CNVD-2014-08977,2014-12-17,中AV:N/AC:M/Au:N/C:N/I:P/A:N,CVE-2014-9342,F5 BIG-IP跨站脚本漏洞,"F5 Networks, Inc. BIG-IP 11.3.0 HF8-3144.158;",F5 BIG-IP是集成了网络流量管理、应用程序安全管理器、负载均衡等功能的多合一网络设备。F5 BIG-IP 11.3.0存在跨站脚本漏洞，允许远程攻击者通过在[自动]策略生成期间访问精心编制的URL注入任意web脚本或HTML。,通用型漏洞,http://www.securityfocus.com/archive/1/archive/1/534137/100/0/threaded,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://f5.com
CNVD-2015-05755,https://www.cnvd.org.cn/flaw/show/CNVD-2015-05755,2015-09-01,高AV:N/AC:L/Au:N/C:N/I:N/A:C,CVE-2015-5058,多款F5产品拒绝服务漏洞,"F5 Networks, Inc. BIG-IP;",F5 BIG-IP LTM等都是美国F5公司的产品。LTM是一款本地流量管理器；APM是一套提供安全统一访问关键业务应用和网络的解决方案。virtual server是其中的一个虚拟服务器软件组件。多款F5产品的virtual server组件中存在安全漏洞。远程攻击者可通过发送大量ICMP数据包利用该漏洞造成拒绝服务（内存消耗）。,通用型漏洞,https://support.f5.com/kb/en-us/solutions/public/17000/000/sol17047.html,用户可参考如下厂商提供的安全公告获取补丁以修复该漏洞：https://support.f5.com/kb/en-us/solutions/public/17000/000/sol17047.html
CNVD-2017-35570,https://www.cnvd.org.cn/flaw/show/CNVD-2017-35570,2017-11-30,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2017-0303,F5 BIG-IP拒绝服务漏洞（CNVD-2017-35570）,"F5 BIG-IP DNS >=12.0.0，<=12.1.2;F5 BIG-IP APM 13.0.0;F5 BIG-IP WebSafe 13.0.0;F5 BIG-IP Link Controller 13.0.0;F5 BIG-IP AAM 13.0.0;F5 BIG-IP LTM 13.0.0;F5 BIG-IP AFM 13.0.0;F5 BIG-IP ASM 13.0.0;F5 BIG-IP DNS 13.0.0;F5 Networks, Inc. BIG-IP 0;F5 BIG-IP PEM 13.0.0;F5 BIG-IP Analytics 13.0.0;F5 BIG-IP LTM <=12.0.0，<=12.1.2;F5 BIG-IP AAM <=12.0.0，<=12.1.2;F5 BIG-IP AFM <=12.0.0，<=12.1.2;F5 BIG-IP Analytics <=12.0.0，<=12.1.2;F5 BIG-IP APM <=12.0.0，<=12.1.2;F5 BIG-IP ASM <=12.0.0，<=12.1.2;F5 BIG-IP GTM <=12.0.0，<=12.1.2;F5 BIG-IP Link Controller <=12.0.0，<=12.1.2;F5 BIG-IP PEM <=12.0.0，<=12.1.2;F5 BIG-IP WebSafe <=12.0.0，<=12.1.2;F5 BIG-IP LTM >=11.5.1，<=11.6.1;F5 BIG-IP AAM >=11.5.1，<=11.6.1;F5 BIG-IP AFM >=11.5.1，<=11.6.1;F5 BIG-IP Analytics >=11.5.1，<=11.6.1;F5 BIG-IP APM >=11.5.1，<=11.6.1;F5 BIG-IP ASM >=11.5.1，<=11.6.1;F5 BIG-IP DNS >=11.5.1，<=11.6.1;F5 BIG-IP GTM >=11.5.1，<=11.6.1;F5 BIG-IP Link Controller >=11.5.1，<=11.6.1;F5 BIG-IP PEM >=11.5.1，<=11.6.1;F5 BIG-IP WebSafe >=11.5.1，<=11.6.1;F5 BIG-IP GTM 13.0.0;",F5 BIG-IP是一系列可让您控制通过您的网络的流量的软件和硬件。F5 BIG-IP存在拒绝服务漏洞。该漏洞产生的原因是，当连接完成时，系统未能正确地从连接表中删除由具有关联的SOCKS配置文件的虚拟服务器处理的连接。远程用户可以消耗所有可用的连接资源，并导致系统无法处理其他连接。,通用型漏洞,https://support.f5.com/csp/article/K30201296,厂商已发布漏洞修复程序，请及时关注更新：https://support.f5.com/csp/article/K30201296
CNVD-2015-01174,https://www.cnvd.org.cn/flaw/show/CNVD-2015-01174,2015-02-26,高AV:N/AC:L/Au:N/C:C/I:C/A:C,CVE-2015-0240,Samba任意代码执行漏洞,Samba Samba 3.5.0-4.2.0rc4;,Samba是在Linux和UNIX系统上实现SMB协议的一个免费软件，由服务器及客户端程序构成。它使用SMB/CIFS协议提供一个安全、稳定、快速的文件和打印服务，还可以无缝集成动态目录环境，可以作为域控制器以及一个域成员。Samba存在任意代码执行漏洞，该漏洞产生的原因是Samba的守护进程smbd里的一个未初始化指针传递给TALLOC_FREE()功能存在缺陷，即通过使用一个空会话IPC，可以调用ServerPasswordSet RPC api NetLogon端点。允许攻击者通过一个恶意的Samba客户机，发送一个特定的netlogon数据包给smbd，获得smbd运行的root权限。,通用型漏洞,https://cxsecurity.com/cveshow/CVE-2015-0240/,目前厂商已经发布了补丁，请广大用户及时下载：http://www.samba.org/samba/security/
CNVD-2019-05660,https://www.cnvd.org.cn/flaw/show/CNVD-2019-05660,2019-02-28,中AV:N/AC:L/Au:N/C:P/I:N/A:N,CVE-2019-6593,F5 BIG-IP virtual server加密问题漏洞,F5 BIG-IP >=11.5.1，<=11.5.4;F5 BIG-IP 11.6.1;F5 BIG-IP 12.1.0;,F5 BIG-IP是美国F5公司的一款集成了网络流量管理、应用程序安全管理、负载均衡等功能的应用交付平台。virtual server是其中的一个虚拟服务器。F5 BIG-IP 11.5.1版本至11.5.4版本、11.6.1版本和12.1.0版本中的virtual server（带有Client SSL配置文件）存在加密问题漏洞，攻击者可通过实施中间人攻击利用该漏洞将加密数据恢复成明文形式，获取会话身份验证cookie。,通用型漏洞,https://support.f5.com/csp/article/K10065173,厂商已发布了漏洞修复程序，请及时关注更新：https://support.f5.com/csp/article/K10065173
CNVD-2019-08285,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08285,2019-03-27,中AV:N/AC:L/Au:S/C:N/I:N/A:P,CVE-2018-10918,Samba拒绝服务漏洞（CNVD-2019-08285）,Samba Samba 无;,Samba是Samba团队开发的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。Samba中存在拒绝服务漏洞，远程攻击者可利用该漏洞造成拒绝服务（DRSUAPI服务器中的DsCrackNames调用崩溃）。,通用型漏洞,https://www.samba.org/samba/security/CVE-2018-10918.html,厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-10918.html
CNVD-2019-03782,https://www.cnvd.org.cn/flaw/show/CNVD-2019-03782,2019-02-12,低AV:N/AC:M/Au:S/C:N/I:P/A:N,CVE-2019-6591,F5 BIG-IP Access Policy Manager跨站脚本漏洞,F5 BIG-IP Access Policy Manager（APM） >=12.1.0，<=12.1.3;F5 BIG-IP Access Policy Manager（APM） >=13.0.0，<=13.1.1;F5 BIG-IP Access Policy Manager（APM） 14.0.0;,F5 BIG-IP Access Policy Manager（APM）是美国F5公司的一套访问和安全解决方案。该解决方案提供统一访问关键业务应用和网络的功能。F5 BIG-IP APM 14.0.0版本、13.0.0版本至13.1.1版本和12.1.0版本至12.1.3版本中的资源信息页面存在跨站脚本漏洞，远程攻击者可利用该漏洞注入恶意内容。,通用型漏洞,https://vigilance.fr/vulnerability/F5-BIG-IP-APM-Cross-Site-Scripting-via-Resource-Information-Page-28393,厂商已发布了漏洞修复程序，请及时关注更新：https://support.f5.com/csp/article/K32840424
CNVD-2019-08283,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08283,2019-03-27,中AV:N/AC:L/Au:S/C:P/I:N/A:N,CVE-2018-10919,Samba访问绕过漏洞,Samba Samba 无;,Samba是Samba团队开发的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。Samba中存在访问绕过漏洞，该漏洞源于程序缺少访问控制检查，远程攻击者可借助LDAP搜索表达式利用该漏洞发现保密的属性值。,通用型漏洞,https://www.samba.org/samba/security/CVE-2018-10919.html,厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-10919.html
CNVD-2019-08284,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08284,2019-03-27,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2018-1140,Samba拒绝服务漏洞（CNVD-2019-08284）,Samba Samba >=4.8.0;,Samba是Samba团队开发的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。Samba中存在拒绝服务漏洞，远程攻击者可利用该漏洞造成拒绝服务（LDAP服务器和DNS服务器崩溃）。,通用型漏洞,https://www.samba.org/samba/security/CVE-2018-1140.html,厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-1140.html
CNVD-2019-08286,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08286,2019-03-27,中AV:N/AC:M/Au:N/C:P/I:N/A:N,CVE-2018-1139,Samba安全绕过漏洞（CNVD-2019-08286）,Samba Samba <4.7.9;Samba Samba <4.8.4;,Samba是Samba团队开发的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。Samba 4.7.9之前版本和4.8.4之前版本中存在安全绕过漏洞，远程攻击者可利用该漏洞绕过安全限制，未授权访问资源。,通用型漏洞,https://www.samba.org/samba/security/CVE-2018-1139.html,厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-1139.html
CNVD-2019-08287,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08287,2019-03-27,中AV:N/AC:L/Au:S/C:P/I:P/A:P,CVE-2018-10858,Samba内存破坏漏洞,Samba Samba >=3.2.0，<=4.8.3;,Samba是Samba团队开发的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。libsmbclient是其中的一个提供文件管理器等工具扩展的应用程序。Samba 3.2.0版本至4.8.3版本的libsmbclient客户端程序中存在内存破坏漏洞，该漏洞源于程序未能充分的验证客户端目录列表的输入，远程攻击者可利用该漏洞执行任意代码或造成拒绝服务。,通用型漏洞,https://www.samba.org/samba/security/CVE-2018-10858.html,厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-10858.html
CNVD-2019-08294,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08294,2019-03-28,低AV:N/AC:M/Au:S/C:N/I:N/A:P,CVE-2018-16852,Samba拒绝服务漏洞（CNVD-2019-08294）,Samba Samba >=4.9.0，<4.9.3;,Samba是在Linux和UNIX系统上实现SMB协议的一个免费软件，由服务器及客户端程序构成。Samba存在拒绝服务的漏洞，攻击者可利用该漏洞造成拒绝服务（空指针逆向引用）。,通用型漏洞,"https://www.securityfocus.com/bid/106024,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16852",厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-16852.html
CNVD-2019-08295,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08295,2019-03-28,中AV:N/AC:M/Au:N/C:N/I:P/A:N,CVE-2018-16857,Samba安全绕过和拒绝服务漏洞,Samba Samba >=4.9.0，<4.9.3;,Samba是在Linux和UNIX系统上实现SMB协议的一个免费软件，由服务器及客户端程序构成。Samba存在安全绕过漏洞和拒绝服务的漏洞，攻击者可利用该漏洞实施暴力破解攻击。,通用型漏洞,"https://www.securityfocus.com/bid/106024,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16852",厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-16852.html
CNVD-2019-08296,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08296,2019-03-28,中AV:N/AC:L/Au:S/C:N/I:N/A:P,CVE-2018-14629,Samba远程拒绝服务漏洞（CNVD-2019-08296）,Samba Samba <4.7.12;Samba Samba <4.8.7;Samba Samba <4.9.3;,Samba是在Linux和UNIX系统上实现SMB协议的一个免费软件，由服务器及客户端程序构成。Samba存在远程拒绝服务漏洞，攻击者可利用该漏洞导致应用程序崩溃，拒绝向合法用户提供服务。,通用型漏洞,"https://www.securityfocus.com/bid/106022,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-14629",厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-14629.html
CNVD-2019-08297,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08297,2019-03-28,中AV:N/AC:L/Au:S/C:N/I:N/A:P,CVE-2018-16841,Samba拒绝服务漏洞（CNVD-2019-08297）,Samba Samba >=4.3.0;,Samba是在Linux和UNIX系统上实现SMB协议的一个免费软件，由服务器及客户端程序构成。Samba存在拒绝服务漏洞，攻击者可利用该漏洞导致应用程序崩溃，拒绝向合法用户提供服务。,通用型漏洞,"https://www.securityfocus.com/bid/106023,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16841",厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-16841.html
CNVD-2019-08293,https://www.cnvd.org.cn/flaw/show/CNVD-2019-08293,2019-03-28,中AV:N/AC:M/Au:N/C:N/I:N/A:P,CVE-2018-16853,Samba拒绝服务漏洞（CNVD-2019-08293）,Samba Samba >=4.7.0;,Samba是Samba团队开发的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。Samba 4.7.0及之后的版本中存在拒绝服务漏洞，攻击者可借助S4U2self扩展利用该漏洞造成KDC崩溃。,通用型漏洞,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-16853,厂商已发布了漏洞修复程序，请及时关注更新：https://www.samba.org/samba/security/CVE-2018-16853.html
CNVD-2019-14017,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14017,2019-05-13,中AV:N/AC:L/Au:S/C:N/I:P/A:P,CVE-2019-3880,samba目录遍历漏洞,Samba Samba <4.8.11;Samba Samba <4.9.6;Samba Samba <4.10.2;,Samba是Samba团队的一套可使UNIX系列的操作系统与微软Windows操作系统的SMB/CIFS网络协议做连结的自由软件。该软件支持共享打印机、互相传输资料文件等。Samba 4.8.11之前版本、4.9.6之前版本和4.10.2之前版本中存在路径遍历漏洞。该漏洞源于网络系统或产品未能正确地过滤资源或文件路径中的特殊元素。攻击者可利用该漏洞访问受限目录之外的位置。,通用型漏洞,https://www.debian.org/security/2019/dsa-4427 https://security-tracker.debian.org/tracker/CVE-2019-3880,目前厂商未提供修复方案，请关注厂商主页：https://www.samba.org/
CNVD-2019-07132,https://www.cnvd.org.cn/flaw/show/CNVD-2019-07132,2019-03-13,中AV:N/AC:L/Au:S/C:P/I:P/A:P,CVE-2018-5545,F5 WebSafe Alert Server任意代码执行漏洞,F5 WebSafe Alert Server >=1.0.0，<=4.2.6;,F5 WebSafe是美国F5公司的一套网络欺诈保护解决方案。该方案提供恶意软件和欺诈检测、客户端移动威胁保护等功能。F5 WebSafe Alert Server是其中的一个提醒服务。F5 WebSafe Alert Server 1.0.0版本至4.2.6版本中存在安全漏洞。攻击者可利用该漏洞在警报服务器上执行代码。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2018-5545,厂商已发布了漏洞修复程序，请及时关注更新：https://support.f5.com/csp/article/K66171422
CNVD-2019-07130,https://www.cnvd.org.cn/flaw/show/CNVD-2019-07130,2019-03-13,中AV:N/AC:L/Au:S/C:P/I:N/A:N,CVE-2018-15310,F5 BIG-IP APM信息泄露漏洞（CNVD-2019-07130）,F5 BIG-IP Access Policy Manager（APM） >=12.1.0，<=12.1.3;F5 BIG-IP Access Policy Manager（APM） >=11.5.1，<=11.5.7;F5 BIG-IP Access Policy Manager（APM） >=11.6.0，<=11.6.3;,F5 BIG-IP Access Policy Manager（APM）是美国F5公司的一套访问和安全解决方案。该解决方案提供统一访问关键业务应用和网络的功能。portal access是其中的一个门户访问组件。F5 BIG-IP APM 11.5.1版本至11.5.7版本、11.6.0版本至11.6.3版本和12.1.0版本至12.1.3版本中的portal access存在安全漏洞。攻击者可利用该漏洞泄露被重写页面的BIG-IP软件版本。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2018-15310,厂商已发布了漏洞修复程序，请及时关注更新：https://support.f5.com/csp/article/K40625021
CNVD-2019-10440,https://www.cnvd.org.cn/flaw/show/CNVD-2019-10440,2019-04-18,高AV:N/AC:L/Au:N/C:P/I:P/A:C,CVE-2019-6610,BIG-IP存在拒绝服务漏洞,F5 BIG-IP APM >=13.0.0，<=13.1.1.1;F5 BIG-IP APM >=14.0.0，<=14.0.0.4;F5 BIG-IP APM >=12.1.0，<=12.1.4;F5 BIG-IP APM >=11.6.0，<=11.6.3.4;F5 BIG-IP APM >=11.5.1，<=11.5.8;,F5 BIG-IP APM是美国F5公司的一套访问和安全解决方案。该产品提供统一访问关键业务应用和网络的功能。F5 BIG-IP APM中存在安全漏洞。攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://support.f5.com/csp/article/K42465020,厂商已发布了漏洞修复程序，请及时关注更新：https://www.f5.com/
CNVD-2019-14826,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14826,2019-05-21,中AV:N/AC:L/Au:S/C:N/I:P/A:P,CVE-2019-6614,F5 BIG-IP权限许可和访问控制问题漏洞（CNVD-2019-14826）,F5 BIG-IP >=14.0.0，<=14.1.0.1;F5 BIG-IP >=13.0.0，<=13.1.1.4;F5 BIG-IP >=12.1.0，<=12.1.4;,F5 BIG-IP是美国F5公司的一款集成了网络流量管理、应用程序安全管理、负载均衡等功能的应用交付平台。F5 BIG-IP 14.0.0版本至14.1.0.1版本、13.0.0版本至13.1.1.4版本和12.1.0版本至12.1.4版本中存在安全漏洞，该漏洞源于内部的方法未能有效地阻止对任意的覆盖。攻击者可利用该漏洞绕过限制，覆盖任意系统文件。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-6614,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://support.f5.com/csp/article/K46524395
CNVD-2019-14827,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14827,2019-05-21,中AV:N/AC:L/Au:S/C:P/I:P/A:P,CVE-2019-6615,F5 BIG-IP权限许可和访问控制问题漏洞,F5 BIG-IP >=14.0.0，<=14.1.0.1;F5 BIG-IP >=13.0.0，<=13.1.1.4;F5 BIG-IP >=12.1.0，<=12.1.4;F5 BIG-IP >=11.6.1，<=11.6.3.4;F5 BIG-IP >=11.5.2，<=11.5.8;,F5 BIG-IP是美国F5公司的一款集成了网络流量管理、应用程序安全管理、负载均衡等功能的应用交付平台。F5 BIG-IP中存在安全漏洞。攻击者可借助TMSH的访问权限利用该漏洞绕过Appliance Mode限制。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-6615,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://support.f5.com/csp/article/K87659521
CNVD-2019-14828,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14828,2019-05-21,中AV:N/AC:L/Au:S/C:P/I:P/A:P,CVE-2019-6616,F5 BIG-IP访问控制错误漏洞（CNVD-2019-14828）,F5 BIG-IP >=14.0.0，<=14.1.0.1;F5 BIG-IP >=13.0.0，<=13.1.1.4;F5 BIG-IP >=12.1.0，<=12.1.4;F5 BIG-IP >=11.6.1，<=11.6.3.4;F5 BIG-IP >=11.5.2，<=11.5.8;,F5 BIG-IP是美国F5公司的一款集成了网络流量管理、应用程序安全管理、负载均衡等功能的应用交付平台。F5 BIG-IP中存在安全漏洞，该漏洞源于具有TMSH访问权限的管理用户可以覆盖重要的系统文件。攻击者可利用该漏洞绕过白名单/黑名单的限制。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-6616,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://support.f5.com/csp/article/K82814400
